symbol,name,last_price,price_change,percent_change,opinion,opinion_pct,opinion_previous,opinion_last_week,opinion_last_month,has_options,has_weekly_options,signal_strength,signal_direction,recommended_strategy,source,updated_at
ZETA,Zeta Global Holdings Corp Cl A,31.35,-1.33,-4.07,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,True,Maximum (Top 1%),Strong Bullish,BULL_PUT_SPREAD,barchart,2026-09-04T22:35:39.241889+00:00
VLO,Valero Energy Corp,370.72,0.03,0.01,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,True,Maximum (Top 1%),Strong Bullish,BULL_PUT_SPREAD,barchart,2026-09-04T22:35:39.242040+00:00
IOVA,Iovance Biotherapeutics Inc,8.79,0.09,1.03,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,True,Maximum (Top 1%),Strong Bullish,BULL_PUT_SPREAD,barchart,2026-09-04T22:35:39.242128+00:00
PSX,Phillips 66,255.09,0.43,0.17,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,True,Maximum (Top 1%),Strong Bullish,BULL_PUT_SPREAD,barchart,2026-09-04T22:35:39.242201+00:00
RNG,Ringcentral Inc,73.39,-2.97,-3.89,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,True,Maximum (Top 1%),Strong Bullish,BULL_PUT_SPREAD,barchart,2026-09-04T22:35:39.242277+00:00
MUFG,Mitsubishi Ufj Financial Group ADR,24.09,-0.04,-0.17,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.242351+00:00
NMM,Navios Maritime Partners LP,92.16,0.82,0.9,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.242418+00:00
AMCX,AMC Global Media Inc,12.48,-0.31,-2.42,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.242486+00:00
OABI,Omniab Inc,4.33,-0.42,-8.84,100% Buy,100.0,100% Buy,100% Buy,64% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.242556+00:00
PBYI,Puma Biotechnology,9.55,0.14,1.49,100% Buy,100.0,100% Buy,100% Buy,96% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.242626+00:00
PLSE,Pulse Biosciences CS,53.24,-1.47,-2.69,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.242687+00:00
RCEL,Avita Medical Inc,11.2,0.26,2.38,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.242754+00:00
RDI,Reading Intl Cl A,2.34,0.22,10.38,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.242825+00:00
RPRX,Royalty Pharma Plc Cl A,63.96,0.08,0.13,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.242889+00:00
RSKD,Riskified Ltd Cl A,6.51,-0.42,-6.06,100% Buy,100.0,100% Buy,100% Buy,96% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.242949+00:00
RVTY,Revvity Inc,130.22,-0.41,-0.31,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243013+00:00
SB,Safe Bulkers Inc,9.17,0.16,1.78,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243086+00:00
SEIC,Sei Investments Company,110.39,-1.07,-0.96,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243147+00:00
SLDE,Slide Insurance Holdings Inc,24.67,-0.06,-0.24,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243207+00:00
TBBB,BBB Foods Inc Cl A,49.77,0.09,0.18,100% Buy,100.0,100% Buy,100% Buy,80% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243280+00:00
TX,Ternium S.A. ADR,58.0,0.02,0.03,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243378+00:00
TXG,10X Genomics Inc,62.65,-0.57,-0.9,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243446+00:00
UMBF,UMB Financial Corp,143.76,0.32,0.22,100% Buy,100.0,100% Buy,64% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243511+00:00
VEON,Veon Ltd ADR,64.21,-2.04,-3.09,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243573+00:00
WT,Wisdomtree Inc,24.89,0.02,0.08,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243634+00:00
LPG,Dorian Lpg Ltd,55.2,1.63,3.04,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243695+00:00
BNS,Bank of Nova Scotia,93.82,-1.1,-1.16,100% Buy,100.0,100% Buy,100% Buy,96% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243776+00:00
CAAS,China Automotive Sys,5.4,-0.04,-0.74,100% Buy,100.0,100% Buy,100% Buy,72% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243847+00:00
CGEM,Cullinan Therapeutics Inc,22.09,-0.07,-0.32,100% Buy,100.0,100% Buy,100% Buy,96% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243911+00:00
CIB,Bancolombia S.A. ADR,100.58,-1.29,-1.27,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243973+00:00
CLMT,Calumet Inc,53.13,-0.37,-0.69,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244040+00:00
