symbol,name,last_price,price_change,percent_change,opinion,opinion_pct,opinion_previous,opinion_last_week,opinion_last_month,has_options,has_weekly_options,signal_strength,signal_direction,recommended_strategy,source,updated_at
VLO,Valero Energy Corp,390.42,4.99,1.29,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,True,Maximum (Top 1%),Strong Bullish,BULL_PUT_SPREAD,barchart,2026-09-12T16:50:56.595956+00:00
PSX,Phillips 66,259.47,0.96,0.37,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,True,Maximum (Top 1%),Strong Bullish,BULL_PUT_SPREAD,barchart,2026-09-12T16:50:56.596190+00:00
HPQ,HP Inc,35.48,2.75,8.4,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,True,Maximum (Top 1%),Strong Bullish,BULL_PUT_SPREAD,barchart,2026-09-12T16:50:56.596344+00:00
TXG,10X Genomics Inc,68.59,2.21,3.33,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.596455+00:00
RDI,Reading Intl Cl A,2.17,0.03,1.4,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.596560+00:00
SLDE,Slide Insurance Holdings Inc,24.84,0.39,1.6,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.596661+00:00
TNK,Teekay Tankers Ltd,100.83,2.58,2.63,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.596768+00:00
PLSE,Pulse Biosciences CS,53.11,-1.32,-2.43,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.596876+00:00
NSIT,Insight Enterpr,165.37,9.5,6.09,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.597057+00:00
NMM,Navios Maritime Partners LP,92.35,0.82,0.9,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.597161+00:00
MPC,Marathon Petroleum,395.93,3.51,0.89,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.597254+00:00
LPG,Dorian Lpg Ltd,55.18,0.77,1.42,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.597353+00:00
TX,Ternium S.A. ADR,57.9,0.29,0.5,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.597454+00:00
ING,ING Groep N.V. ADR,37.27,0.6,1.64,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.597569+00:00
UGP,Ultrapar Participacoes S.A. ADR,7.45,-0.11,-1.46,100% Buy,100.0,100% Buy,100% Buy,72% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.597667+00:00
ECO,Okeanis Eco Tankers Corp,76.15,3.23,4.43,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.597762+00:00
DK,Delek US Holdings,76.1,1.21,1.62,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.597853+00:00
DINO,HF Sinclair Corp,107.84,0.12,0.11,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.597978+00:00
DAC,Danaos Corp,159.33,2.44,1.56,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.598075+00:00
CVI,Cvr Energy Inc,49.66,1.06,2.18,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.598192+00:00
CMBT,Cmb.Tech NV,19.48,0.1,0.52,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.598287+00:00
CLMT,Calumet Inc,56.8,0.36,0.64,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.598383+00:00
UMBF,UMB Financial Corp,139.49,0.12,0.09,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.598487+00:00
VEON,Veon Ltd ADR,67.87,-1.29,-1.87,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.598588+00:00
ATRC,Atricure Inc,54.54,1.58,2.98,100% Buy,100.0,88% Buy,88% Buy,72% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.598727+00:00
XHLD,Ten Holdings Inc,12.53,1.69,15.59,100% Buy,100.0,100% Buy,100% Buy,72% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.598814+00:00
TTRX,Turn Therapeutics Inc,12.69,-0.69,-5.16,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.598967+00:00
PXS,Pyxis Tankers,6.88,-0.13,-1.85,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.599133+00:00
PROV,Provident Financial,18.63,-0.08,-0.43,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.599227+00:00
PBAM,Private Bancorp of America Inc,90.85,-0.04,-0.04,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.599323+00:00
JILL,J. Jill Inc,24.08,1.31,5.75,100% Buy,100.0,100% Buy,88% Buy,88% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.599419+00:00
EHLD,Euroholdings Ltd,15.2,-0.5,-3.18,100% Buy,100.0,100% Buy,100% Buy,88% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.599508+00:00
EDRY,Eurodry Ltd,67.12,3.23,5.06,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.599601+00:00
CIX,Compx International Inc,35.65,0.07,0.2,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.599693+00:00
CFFI,C&F Financial Corp,95.0,1.38,1.47,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.599791+00:00
BVC,Bitventures Limited,16.08,0.34,2.16,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.599904+00:00
BUUU,BuUU Group Limited Class A Ordinary Share,39.5,0.58,1.49,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-12T16:50:56.599996+00:00
