Symbol,Name,Price,Price Change,% Chg,Volume,Avg Volume,Relative Volume,Market Cap,Div Yield %,P/E Ratio,14-Day RSI,IV30,IV % Rank,1-Day Volatility,20-Day Volatility,1-Year Volatility,MA Technical Signal,CBOE Weeklys,Options Cadence,Country,Has Options,Stock Idea,Recommended Strategy,Notes,Source,Updated At
NOW,Servicenow,$132.53,+1.36,+1.04%,9359540,24293732,0.3853,137.0 B,0.0,81.9437,54.55,50.48,0.46,31.11,54.84,53.01,Bullish Crossover,Yes (CBOE),Daily / Multi-Weekly,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 54.55 | IV30: 50.48% | Cadence: Daily / Multi-Weekly | MktCap: 137.0 B | Signal: Bullish Crossover,marketchameleon,2026-09-12T16:51:14.225663+00:00
TEAM,Atlassian  - Class A,$179.70,+0.13,+0.07%,1681390,5016387,0.3352,45.5 B,0.0,0.0,64.61,56.75,0.23,39.51,57.62,65.53,Uptrend,Yes (CBOE),Weekly,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 64.61 | IV30: 56.75% | Cadence: Weekly | MktCap: 45.5 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.225754+00:00
RVTY,Revvity,$124.31,+3.37,+2.79%,1089915,1472617,0.7401,13.9 B,0.23,58.1442,54.14,38.39,0.37,30.92,36.25,38.83,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,CSP,RSI: 54.14 | IV30: 38.39% | Cadence: Monthly Only | MktCap: 13.9 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.225813+00:00
PBF,PBF Energy Class A,$78.30,+1.22,+1.58%,2590456,2766835,0.9363,9.3 B,1.4,6.7555,65.27,71.03,0.77,83.29,64.74,67.84,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 65.27 | IV30: 71.03% | Cadence: Monthly Only | MktCap: 9.3 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.225863+00:00
SM,SM Energy Company,$38.10,-0.08,-0.21%,3143299,3708274,0.8476,9.1 B,2.26,6.7695,65.04,48.34,0.07,33.97,44.41,53.04,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 65.04 | IV30: 48.34% | Cadence: Monthly Only | MktCap: 9.1 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.225909+00:00
TXG,10X Genomics,$68.59,+2.21,+3.33%,1728826,2962643,0.5835,8.9 B,0.0,0.0,69.21,68.3,0.17,40.4,63.53,72.11,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 69.21 | IV30: 68.3% | Cadence: Monthly Only | MktCap: 8.9 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.225950+00:00
GTLB,Gitlab - Class A,$46.99,-0.31,-0.66%,2991555,5321009,0.5622,8.0 B,0.0,0.0,63.19,47.02,0.07,39.25,52.25,59.17,Uptrend,Yes (CBOE),Weekly,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 63.19 | IV30: 47.02% | Cadence: Weekly | MktCap: 8.0 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.225997+00:00
ANF,Abercrombie & Fitch Company,$145.23,+2.30,+1.61%,1286314,1450304,0.8869,6.5 B,0.0,12.3428,66.59,46.46,0.12,31.02,48.18,47.32,Uptrend,Yes (CBOE),Weekly,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 66.59 | IV30: 46.46% | Cadence: Weekly | MktCap: 6.5 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226042+00:00
MMED,Minimed Group,$22.50,+0.06,+0.27%,1254805,1173552,1.0692,6.3 B,0.0,0.0,64.88,44.56,0.07,80.36,45.45,62.36,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 64.88 | IV30: 44.56% | Cadence: Monthly Only | MktCap: 6.3 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226082+00:00
RNG,Ringcentral Class A,$68.92,-0.12,-0.17%,922187,1782299,0.5174,6.3 B,0.4,55.232,60.53,52.1,0.32,39.59,49.51,56.18,Uptrend,Yes (CBOE),Weekly,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 60.53 | IV30: 52.1% | Cadence: Weekly | MktCap: 6.3 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226125+00:00
TVTX,Travere Therapeutics,$66.17,-1.34,-1.98%,1027757,1860273,0.5525,6.2 B,0.0,0.0,58.18,41.21,0.02,38.15,34.49,54.3,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 58.18 | IV30: 41.21% | Cadence: Monthly Only | MktCap: 6.2 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226164+00:00
MRX,Marex Group Limited -,$73.00,-1.09,-1.47%,512079,828721,0.6179,5.2 B,0.88,15.0489,55.73,46.16,0.58,46.36,44.64,44.23,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 55.73 | IV30: 46.16% | Cadence: Monthly Only | MktCap: 5.2 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226209+00:00
